C		1.93E-1		3.81E-1		7.71E-1		15.82E-1	1.07E-3		1.20E-3		4.02E-3
N		1.72E-6		1.34E-6		1.25E-6		6.77E-6		2.34E-10	1.93E-8		1.18E-7
O		5.07E-1		13.39E-1	27.29E-1	63.89E-1	5.69E-2		6.97E-2		1.02E-1
F		1.08E-10	1.73E-10	1.27E-10	9.66E-10	1.38E-13	2.51E-11	6.80E-11
Ne		1.91E-1		5.61E-1		14.06E-1	23.30E-1	1.81E-4		1.21E-3		4.81E-3
Na		3.32E-6		1.04E-5		6.49E-6		3.32E-5		8.09E-7		8.81E-6		2.10E-5
Mg		8.09E-2		1.20E-1		1.79E-1		3.44E-1		1.11E-3		1.39E-3		8.75E-3
Al		5.30E-5		7.38E-5		4.70E-5		1.77E-4		9.14E-5		1.20E-4		7.17E-4
Si		9.94E-2		3.51E-1		5.99E-2		2.01E-1		2.35E-1		1.32E-1		1.13E-1
P		4.48E-5		9.53E-5		3.78E-5		1.57E-4		1.92E-4		1.61E-4		3.54E-4
S		3.72E-2		2.18E-1		2.53E-2		1.02E-1		1.25E-1		7.11E-2		5.13E-2
Cl		2.61E-5		6.35E-5		2.39E-5		5.13E-5		2.04E-4		1.36E-4		1.54E-4
Ar		7.63E-3		4.30E-2		5.21E-3		2.32E-2		2.41E-2		1.35E-2		8.57E-3
K		1.63E-5		2.95E-5		1.34E-5		2.41E-5		1.89E-4		1.03E-4		9.09E-5
Ca		7.83E-3		3.41E-2		5.22E-3		2.51E-2		1.80E-2		1.12E-2		7.52E-3
Sc		2.31E-6		1.28E-6		1.41E-6		2.42E-6		6.05E-7		3.96E-7		7.81E-7
Ti		1.49E-4		2.21E-4		1.19E-4		4.82E-4		4.10E-4		8.03E-4		2.72E-3
V		7.28E-5		5.26E-5		5.34E-5		6.40E-5		9.50E-5		8.00E-5		2.81E-4
Cr		1.91E-3		2.58E-3		1.85E-3		5.49E-3		9.62E-3		3.46E-3		3.07E-3
Mn		5.12E-5		6.14E-5		4.95E-5		1.52E-4		1.03E-2		1.38E-3		9.15E-4
Fe		1.72E-1		1.55E-1		1.30E-1		3.67E-1		7.99E-1		6.56E-1		7.08E-1
Co		1.15E-3		7.02E-4		7.90E-4		6.42E-4		8.86E-4		5.54E-4		6.17E-4
Ni		5.72E-3		4.45E-3		3.72E-3		1.02E-2		7.70E-2		3.47E-2		3.91E-2
Cu		3.11E-5		2.35E-5		2.31E-5		1.63E-5		4.13E-6		1.06E-5		5.73E-6
Zn		3.08E-4		2.68E-4		2.02E-4		4.50E-4		4.53E-5		5.45E-5		3.62E-5
