No13_AGB_0,AGB
No13_AGB_0.001,AGB
No13_AGB_0.004,AGB
No13_AGB_0.008,AGB
No13_AGB_0.02,AGB
K10_AGB_0.02,AGB
K10_AGB_0.0001,AGB
K10_AGB_0.004,AGB
K10_AGB_0.008,AGB
Le25_A22S03_0,SNCC,OK
Ch04_0,SNCC
Ch04_1E-6,SNCC
Ch04_1E-4,SNCC
Ch04_1E-3,SNCC
Ch04_6E-3,SNCC
Ch04_2E-2,SNCC
No06_0,SNCC
No06_0.001,SNCC
No06_0.004,SNCC
No06_0.02,SNCC
No13_SNcc_0,SNCC
No13_SNcc_0.001,SNCC
No13_SNcc_0.004,SNCC
No13_SNcc_0.008,SNCC
No13_SNcc_0.02,SNCC
No13_SNcc_0.05,SNCC
No13_PISNe_0,SNCC
No13_SNe_0,SNCC
No13_HNe_0,SNCC,HY
No13_HNe_0.001,SNCC,HY
No13_HNe_0.004,SNCC,HY
No13_HNe_0.008,SNCC,HY
No13_HNe_0.02,SNCC,HY
No13_HNe_0.05,SNCC,HY
He0210_SNcc_0,SNCC
He0210_PISNe_0,SNCC
He0210_SNe_0,SNCC
Su16_N20,SNCC
Su16_W18,SNCC,
Ro10_0,SNCC,
Ro10_0.000002,SNCC,
Ro10_0.0002,SNCC,
Ro10_0.02,SNCC,
Ro10_0.002,SNCC,
Iw99_W7,SN1A,DEFLAGRATION,NMCH
Iw99_W7new,SN1A,DEFLAGRATION,NMCH
Iw99_W70,SN1A,DEFLAGRATION,NMCH
Iw99_WDD1,SN1A,DD,DETONATION,NMCH
Iw99_WDD2,SN1A,DD,DETONATION,NMCH
Iw99_WDD3,SN1A,DD,DETONATION,NMCH
Iw99_CDD1,SN1A,DD,DETONATION,NMCH
Iw99_CDD2,SN1A,DD,DETONATION,NMCH
Ba06_DDTa,SN1A,DD,DETONATION,NMCH
Ba06_DDTb,SN1A,DD,DETONATION,NMCH
Ba06_DDTc,SN1A,DD,DETONATION,NMCH
Ba06_DDTd,SN1A,DD,DETONATION,NMCH
Ba06_DDTe,SN1A,DD,DETONATION,NMCH
Ba06_DDTf,SN1A,DD,DETONATION,NMCH
Sh18_M08_3070_Z0_01,SN1A,D6,D2,DETONATION,SMCH
Sh18_M085_3070_Z0_01,SN1A,D6,D2,DETONATION,SMCH
Sh18_M09_3070_Z0_01,SN1A,D6,D2,DETONATION,SMCH
Sh18_M10_3070_Z0_01,SN1A,D6,D2,DETONATION,SMCH
Sh18_M11_3070_Z0_01,SN1A,D6,D2,DETONATION,SMCH
Sh18_M08_3070_Z0005_01,SN1A,D6,D2,DETONATION,SMCH
Sh18_M085_3070_Z0005_01,SN1A,D6,D2,DETONATION,SMCH
Sh18_M09_3070_Z0005_01,SN1A,D6,D2,DETONATION,SMCH
Sh18_M10_3070_Z0005_01,SN1A,D6,D2,DETONATION,SMCH
Sh18_M11_3070_Z0005_01,SN1A,D6,D2,DETONATION,SMCH
Sh18_M08_3070_Z001_01,SN1A,D6,D2,DETONATION,SMCH
Sh18_M085_3070_Z001_01,SN1A,D6,D2,DETONATION,SMCH
Sh18_M09_3070_Z001_01,SN1A,D6,D2,DETONATION,SMCH
Sh18_M10_3070_Z001_01,SN1A,D6,D2,DETONATION,SMCH
Sh18_M11_3070_Z001_01,SN1A,D6,D2,DETONATION,SMCH
Sh18_M08_3070_Z002_01,SN1A,D6,D2,DETONATION,SMCH
Sh18_M085_3070_Z002_01,SN1A,D6,D2,DETONATION,SMCH
Sh18_M09_3070_Z002_01,SN1A,D6,D2,DETONATION,SMCH
Sh18_M10_3070_Z002_01,SN1A,D6,D2,DETONATION,SMCH
Sh18_M11_3070_Z002_01,SN1A,D6,D2,DETONATION,SMCH
Sh18_M08_5050_Z0_01,SN1A,D6,D2,DETONATION,SMCH
Sh18_M085_5050_Z0_01,SN1A,D6,D2,DETONATION,SMCH
Sh18_M09_5050_Z0_01,SN1A,D6,D2,DETONATION,SMCH
Sh18_M10_5050_Z0_01,SN1A,D6,D2,DETONATION,SMCH
Sh18_M11_5050_Z0_01,SN1A,D6,D2,DETONATION,SMCH
Sh18_M08_5050_Z0005_01,SN1A,D6,D2,DETONATION,SMCH
Sh18_M085_5050_Z0005_01,SN1A,D6,D2,DETONATION,SMCH
Sh18_M09_5050_Z0005_01,SN1A,D6,D2,DETONATION,SMCH
Sh18_M10_5050_Z0005_01,SN1A,D6,D2,DETONATION,SMCH
Sh18_M11_5050_Z0005_01,SN1A,D6,D2,DETONATION,SMCH
Sh18_M08_5050_Z001_01,SN1A,D6,D2,DETONATION,SMCH
Sh18_M085_5050_Z001_01,SN1A,D6,D2,DETONATION,SMCH
Sh18_M09_5050_Z001_01,SN1A,D6,D2,DETONATION,SMCH
Sh18_M10_5050_Z001_01,SN1A,D6,D2,DETONATION,SMCH
Sh18_M11_5050_Z001_01,SN1A,D6,D2,DETONATION,SMCH
Sh18_M08_5050_Z002_01,SN1A,D6,D2,DETONATION,SMCH
Sh18_M085_5050_Z002_01,SN1A,D6,D2,DETONATION,SMCH
Sh18_M09_5050_Z002_01,SN1A,D6,D2,DETONATION,SMCH
Sh18_M11_5050_Z002_01,SN1A,D6,D2,DETONATION,SMCH
Sh18_M08_3070_Z0_1,SN1A,D6,D2,DETONATION,SMCH
Sh18_M085_3070_Z0_1,SN1A,D6,D2,DETONATION,SMCH
Sh18_M09_3070_Z0_1,SN1A,D6,D2,DETONATION,SMCH
Sh18_M10_3070_Z0_1,SN1A,D6,D2,DETONATION,SMCH
Sh18_M11_3070_Z0_1,SN1A,D6,D2,DETONATION,SMCH
Sh18_M08_3070_Z0005_1,SN1A,D6,D2,DETONATION,SMCH
Sh18_M085_3070_Z0005_1,SN1A,D6,D2,DETONATION,SMCH
Sh18_M09_3070_Z0005_1,SN1A,D6,D2,DETONATION,SMCH
Sh18_M10_3070_Z0005_1,SN1A,D6,D2,DETONATION,SMCH
Sh18_M11_3070_Z0005_1,SN1A,D6,D2,DETONATION,SMCH
Sh18_M08_3070_Z001_1,SN1A,D6,D2,DETONATION,SMCH
Sh18_M085_3070_Z001_1,SN1A,D6,D2,DETONATION,SMCH
Sh18_M09_3070_Z001_1,SN1A,D6,D2,DETONATION,SMCH
Sh18_M10_3070_Z001_1,SN1A,D6,D2,DETONATION,SMCH
Sh18_M11_3070_Z001_1,SN1A,D6,D2,DETONATION,SMCH
Sh18_M08_3070_Z002_1,SN1A,D6,D2,DETONATION,SMCH
Sh18_M085_3070_Z002_1,SN1A,D6,D2,DETONATION,SMCH
Sh18_M09_3070_Z002_1,SN1A,D6,D2,DETONATION,SMCH
Sh18_M10_3070_Z002_1,SN1A,D6,D2,DETONATION,SMCH
